country	continent	year	lifeExp
Gambia	Africa	1952	30.0
Gambia	Africa	1957	32.065
Gambia	Africa	1962	33.896
Gambia	Africa	1967	35.857
Gambia	Africa	1972	38.308
Gambia	Africa	1977	41.842
Gambia	Africa	1982	45.58
Gambia	Africa	1987	49.265
Gambia	Africa	1992	52.644
Gambia	Africa	1997	55.861
Gambia	Africa	2002	58.041
Gambia	Africa	2007	59.448
Libya	Africa	1952	42.723
Libya	Africa	1957	45.289
Libya	Africa	1962	47.808
Libya	Africa	1967	50.227
Libya	Africa	1972	52.773
Libya	Africa	1977	57.442
Libya	Africa	1982	62.155
Libya	Africa	1987	66.234
Libya	Africa	1992	68.755
Libya	Africa	1997	71.555
Libya	Africa	2002	72.737
Libya	Africa	2007	73.952
Rwanda	Africa	1992	23.599
Rwanda	Africa	1997	36.087
Rwanda	Africa	1952	40.0
Rwanda	Africa	1957	41.5
Rwanda	Africa	1962	43.0
Rwanda	Africa	2002	43.413
Rwanda	Africa	1987	44.02
Rwanda	Africa	1967	44.1
Rwanda	Africa	1972	44.6
Rwanda	Africa	1977	45.0
Rwanda	Africa	1982	46.218
Rwanda	Africa	2007	46.242
Tunisia	Africa	1952	44.6
Tunisia	Africa	1957	47.1
Tunisia	Africa	1962	49.579
Tunisia	Africa	1967	52.053
Tunisia	Africa	1972	55.602
Tunisia	Africa	1977	59.837
Tunisia	Africa	1982	64.048
Tunisia	Africa	1987	66.894
Tunisia	Africa	1992	70.001
Tunisia	Africa	1997	71.973
Tunisia	Africa	2002	73.042
Tunisia	Africa	2007	73.923
Zambia	Africa	2002	39.193
Zambia	Africa	1997	40.238
Zambia	Africa	1952	42.038
Zambia	Africa	2007	42.384
Zambia	Africa	1957	44.077
Zambia	Africa	1962	46.023
Zambia	Africa	1992	46.1
Zambia	Africa	1967	47.768
Zambia	Africa	1972	50.107
Zambia	Africa	1987	50.821
Zambia	Africa	1977	51.386
Zambia	Africa	1982	51.821
Zimbabwe	Africa	2002	39.989
Zimbabwe	Africa	2007	43.487
Zimbabwe	Africa	1997	46.809
Zimbabwe	Africa	1952	48.451
Zimbabwe	Africa	1957	50.469
Zimbabwe	Africa	1962	52.358
Zimbabwe	Africa	1967	53.995
Zimbabwe	Africa	1972	55.635
Zimbabwe	Africa	1977	57.674
Zimbabwe	Africa	1982	60.363
Zimbabwe	Africa	1992	60.377
Zimbabwe	Africa	1987	62.351
