country	continent	year	lifeExp
Guatemala	Americas	1952	42.023
Guatemala	Americas	1957	44.142
Guatemala	Americas	1962	46.954
Guatemala	Americas	1967	50.016
Guatemala	Americas	1972	53.738
Guatemala	Americas	1977	56.029
Guatemala	Americas	1982	58.137
Guatemala	Americas	1987	60.782
Guatemala	Americas	1992	63.373
Guatemala	Americas	1997	66.322
Guatemala	Americas	2002	68.978
Guatemala	Americas	2007	70.259
Honduras	Americas	1952	41.912
Honduras	Americas	1957	44.665
Honduras	Americas	1962	48.041
Honduras	Americas	1967	50.924
Honduras	Americas	1972	53.884
Honduras	Americas	1977	57.402
Honduras	Americas	1982	60.909
Honduras	Americas	1987	64.492
Honduras	Americas	1992	66.399
Honduras	Americas	1997	67.659
Honduras	Americas	2002	68.565
Honduras	Americas	2007	70.198
Nicaragua	Americas	1952	42.314
Nicaragua	Americas	1957	45.432
Nicaragua	Americas	1962	48.632
Nicaragua	Americas	1967	51.884
Nicaragua	Americas	1972	55.151
Nicaragua	Americas	1977	57.47
Nicaragua	Americas	1982	59.298
Nicaragua	Americas	1987	62.008
Nicaragua	Americas	1992	65.843
Nicaragua	Americas	1997	68.426
Nicaragua	Americas	2002	70.836
Nicaragua	Americas	2007	72.899
Paraguay	Americas	1952	62.649
Paraguay	Americas	1957	63.196
Paraguay	Americas	1962	64.361
Paraguay	Americas	1967	64.951
Paraguay	Americas	1972	65.815
Paraguay	Americas	1977	66.353
Paraguay	Americas	1982	66.874
Paraguay	Americas	1987	67.378
Paraguay	Americas	1992	68.225
Paraguay	Americas	1997	69.4
Paraguay	Americas	2002	70.755
Paraguay	Americas	2007	71.752
Trinidad and Tobago	Americas	1952	59.1
Trinidad and Tobago	Americas	1957	61.8
Trinidad and Tobago	Americas	1962	64.9
Trinidad and Tobago	Americas	1967	65.4
Trinidad and Tobago	Americas	1972	65.9
Trinidad and Tobago	Americas	1977	68.3
Trinidad and Tobago	Americas	1982	68.832
Trinidad and Tobago	Americas	2002	68.976
Trinidad and Tobago	Americas	1997	69.465
Trinidad and Tobago	Americas	1987	69.582
Trinidad and Tobago	Americas	2007	69.819
Trinidad and Tobago	Americas	1992	69.862
Uruguay	Americas	1952	66.071
Uruguay	Americas	1957	67.044
Uruguay	Americas	1962	68.253
Uruguay	Americas	1967	68.468
Uruguay	Americas	1972	68.673
Uruguay	Americas	1977	69.481
Uruguay	Americas	1982	70.805
Uruguay	Americas	1987	71.918
Uruguay	Americas	1992	72.752
Uruguay	Americas	1997	74.223
Uruguay	Americas	2002	75.307
Uruguay	Americas	2007	76.384
