country	continent	year	lifeExp
Iraq	Asia	1952	45.32
Iraq	Asia	1957	48.437
Iraq	Asia	1962	51.457
Iraq	Asia	1967	54.459
Iraq	Asia	1972	56.95
Iraq	Asia	2002	57.046
Iraq	Asia	1997	58.811
Iraq	Asia	1992	59.461
Iraq	Asia	2007	59.545
Iraq	Asia	1977	60.413
Iraq	Asia	1982	62.038
Iraq	Asia	1987	65.044
Lebanon	Asia	1952	55.928
Lebanon	Asia	1957	59.489
Lebanon	Asia	1962	62.094
Lebanon	Asia	1967	63.87
Lebanon	Asia	1972	65.421
Lebanon	Asia	1977	66.099
Lebanon	Asia	1982	66.983
Lebanon	Asia	1987	67.926
Lebanon	Asia	1992	69.292
Lebanon	Asia	1997	70.265
Lebanon	Asia	2002	71.028
Lebanon	Asia	2007	71.993
Oman	Asia	1952	37.578
Oman	Asia	1957	40.08
Oman	Asia	1962	43.165
Oman	Asia	1967	46.988
Oman	Asia	1972	52.143
Oman	Asia	1977	57.367
Oman	Asia	1982	62.728
Oman	Asia	1987	67.734
Oman	Asia	1992	71.197
Oman	Asia	1997	72.499
Oman	Asia	2002	74.193
Oman	Asia	2007	75.64
Saudi Arabia	Asia	1952	39.875
Saudi Arabia	Asia	1957	42.868
Saudi Arabia	Asia	1962	45.914
Saudi Arabia	Asia	1967	49.901
Saudi Arabia	Asia	1972	53.886
Saudi Arabia	Asia	1977	58.69
Saudi Arabia	Asia	1982	63.012
Saudi Arabia	Asia	1987	66.295
Saudi Arabia	Asia	1992	68.768
Saudi Arabia	Asia	1997	70.533
Saudi Arabia	Asia	2002	71.626
Saudi Arabia	Asia	2007	72.777
Sri Lanka	Asia	1952	57.593
Sri Lanka	Asia	1957	61.456
Sri Lanka	Asia	1962	62.192
Sri Lanka	Asia	1967	64.266
Sri Lanka	Asia	1972	65.042
Sri Lanka	Asia	1977	65.949
Sri Lanka	Asia	1982	68.757
Sri Lanka	Asia	1987	69.011
Sri Lanka	Asia	1992	70.379
Sri Lanka	Asia	1997	70.457
Sri Lanka	Asia	2002	70.815
Sri Lanka	Asia	2007	72.396
Vietnam	Asia	1952	40.412
Vietnam	Asia	1957	42.887
Vietnam	Asia	1962	45.363
Vietnam	Asia	1967	47.838
Vietnam	Asia	1972	50.254
Vietnam	Asia	1977	55.764
Vietnam	Asia	1982	58.816
Vietnam	Asia	1987	62.82
Vietnam	Asia	1992	67.662
Vietnam	Asia	1997	70.672
Vietnam	Asia	2002	73.017
Vietnam	Asia	2007	74.249
