country	continent	year	lifeExp
Bosnia and Herzegovina	Europe	1952	53.82
Bosnia and Herzegovina	Europe	1957	58.45
Bosnia and Herzegovina	Europe	1962	61.93
Bosnia and Herzegovina	Europe	1967	64.79
Bosnia and Herzegovina	Europe	1972	67.45
Bosnia and Herzegovina	Europe	1977	69.86
Bosnia and Herzegovina	Europe	1982	70.69
Bosnia and Herzegovina	Europe	1987	71.14
Bosnia and Herzegovina	Europe	1992	72.178
Bosnia and Herzegovina	Europe	1997	73.244
Bosnia and Herzegovina	Europe	2002	74.09
Bosnia and Herzegovina	Europe	2007	74.852
Denmark	Europe	1952	70.78
Denmark	Europe	1957	71.81
Denmark	Europe	1962	72.35
Denmark	Europe	1967	72.96
Denmark	Europe	1972	73.47
Denmark	Europe	1982	74.63
Denmark	Europe	1977	74.69
Denmark	Europe	1987	74.8
Denmark	Europe	1992	75.33
Denmark	Europe	1997	76.11
Denmark	Europe	2002	77.18
Denmark	Europe	2007	78.332
Hungary	Europe	1952	64.03
Hungary	Europe	1957	66.41
Hungary	Europe	1962	67.96
Hungary	Europe	1992	69.17
Hungary	Europe	1982	69.39
Hungary	Europe	1967	69.5
Hungary	Europe	1987	69.58
Hungary	Europe	1972	69.76
Hungary	Europe	1977	69.95
Hungary	Europe	1997	71.04
Hungary	Europe	2002	72.59
Hungary	Europe	2007	73.338
Norway	Europe	1952	72.67
Norway	Europe	1957	73.44
Norway	Europe	1962	73.47
Norway	Europe	1967	74.08
Norway	Europe	1972	74.34
Norway	Europe	1977	75.37
Norway	Europe	1987	75.89
Norway	Europe	1982	75.97
Norway	Europe	1992	77.32
Norway	Europe	1997	78.32
Norway	Europe	2002	79.05
Norway	Europe	2007	80.196
Portugal	Europe	1952	59.82
Portugal	Europe	1957	61.51
Portugal	Europe	1962	64.39
Portugal	Europe	1967	66.6
Portugal	Europe	1972	69.26
Portugal	Europe	1977	70.41
Portugal	Europe	1982	72.77
Portugal	Europe	1987	74.06
Portugal	Europe	1992	74.86
Portugal	Europe	1997	75.97
Portugal	Europe	2002	77.29
Portugal	Europe	2007	78.098
Turkey	Europe	1952	43.585
Turkey	Europe	1957	48.079
Turkey	Europe	1962	52.098
Turkey	Europe	1967	54.336
Turkey	Europe	1972	57.005
Turkey	Europe	1977	59.507
Turkey	Europe	1982	61.036
Turkey	Europe	1987	63.108
Turkey	Europe	1992	66.146
Turkey	Europe	1997	68.835
Turkey	Europe	2002	70.845
Turkey	Europe	2007	71.777
